City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mazatlan,23.2167,-106.4167,30.51,82,100,1.34,MX,1697850435
1,thompson,55.7435,-97.8558,7.09,100,100,2.57,CA,1697850503
2,san antonio de pale,-1.4014,5.6325,25.81,83,99,4.05,GQ,1697850503
3,grytviken,-54.2811,-36.5092,2.22,95,100,1.52,GS,1697850503
4,happy valley-goose bay,53.3168,-60.3315,7.92,93,100,0.41,CA,1697850503
5,waitangi,-43.9535,-176.5597,10.38,71,100,3.46,NZ,1697850260
6,olyokminsk,60.3736,120.4264,3.27,95,100,6.19,RU,1697850503
7,ancud,-41.8697,-73.8203,8.05,81,59,2.62,CL,1697850503
8,port-aux-francais,-49.35,70.2167,0.82,86,96,9.18,TF,1697850503
9,pancas,-19.225,-40.8514,21.68,83,100,1.56,BR,1697850504
10,nar'yan-mar,67.6713,53.087,0.97,83,99,10.02,RU,1697850504
11,aasiaat,68.7098,-52.8699,-9.47,86,45,0.94,GL,1697850504
12,bhimunipatnam,17.8833,83.4333,26.73,82,91,3.79,IN,1697850504
13,saint-pierre,-21.3393,55.4781,22.82,68,0,3.09,RE,1697850504
14,colonia,50.9333,6.95,13.92,92,75,1.54,DE,1697850504
15,bredasdorp,-34.5322,20.0403,15.29,94,100,9.09,ZA,1697850396
16,blackmans bay,-43.0167,147.3167,13.18,94,100,6.02,AU,1697850505
17,ushuaia,-54.8,-68.3,5.81,77,75,8.05,AR,1697850505
18,prado,-17.3411,-39.2208,23.61,77,100,3.5,BR,1697850505
19,vilyuchinsk,52.9306,158.4028,6.15,97,100,1.32,RU,1697850505
20,papatowai,-46.5619,169.4708,13.02,49,8,7.22,NZ,1697850505
21,wamba,8.9333,8.6,24.02,83,100,1.86,NG,1697850505
22,laguna,38.421,-121.4238,30.24,41,0,3.09,US,1697850506
23,lae,-6.7221,146.9847,28.59,76,90,1.99,PG,1697850506
24,afaahiti,-17.75,-149.2833,23.92,81,6,3.98,PF,1697850506
25,polyarnyy,69.1989,33.4478,2.94,85,100,11.55,RU,1697850506
26,kalmunai,7.4167,81.8167,24.59,88,98,2.31,LK,1697850506
27,kill devil hills,36.0307,-75.676,19.01,72,75,4.63,US,1697850507
28,bethel,41.3712,-73.414,16.17,90,100,1.54,US,1697850507
29,edinburgh of the seven seas,-37.0676,-12.3116,14.63,91,91,9.19,SH,1697850507
30,keflavik,64.0049,-22.5624,7.24,87,75,6.69,IS,1697850507
31,anadyr,64.75,177.4833,-1.72,68,0,5.0,RU,1697850508
32,olonkinbyen,70.9221,-8.7187,3.2,90,6,4.46,SJ,1697850508
33,queenstown,-31.8976,26.8753,17.43,81,97,2.64,ZA,1697850426
34,malango,-2.9627,119.9001,27.33,52,96,1.56,ID,1697850508
35,ribeira grande,38.5167,-28.7,17.65,84,100,9.39,PT,1697850509
36,saint-joseph,-21.3667,55.6167,22.21,80,24,2.69,RE,1697850509
37,acarau,-2.8856,-40.12,26.41,83,6,8.69,BR,1697850509
38,extrema,-22.8547,-46.3183,16.53,95,83,1.79,BR,1697850509
39,utrik,11.2278,169.8474,28.14,75,88,5.2,MH,1697850509
40,adamstown,-25.066,-130.1015,22.87,82,100,3.46,PN,1697850509
41,hawaiian paradise park,19.5933,-154.9731,28.35,77,20,4.12,US,1697850509
42,san luis de la loma,17.2706,-100.8939,26.49,86,97,1.59,MX,1697850510
43,chonchi,-42.6128,-73.8092,8.95,87,87,1.91,CL,1697850510
44,oriximina,-1.7656,-55.8661,29.4,58,75,1.55,BR,1697850510
45,klaksvik,62.2266,-6.589,6.51,63,54,8.91,FO,1697850510
46,key west,24.5557,-81.7826,26.0,76,0,3.09,US,1697850447
47,banda aceh,5.5577,95.3222,26.99,75,100,1.61,ID,1697850510
48,jamestown,42.097,-79.2353,11.12,98,100,1.54,US,1697850510
49,tiksi,71.6872,128.8694,-20.27,99,96,2.41,RU,1697850466
50,kailua-kona,19.6406,-155.9956,29.98,72,40,5.14,US,1697850286
51,dalandzadgad,43.5708,104.425,8.54,27,0,1.63,MN,1697850511
52,whitehorse,60.7161,-135.0538,-4.55,55,100,2.68,CA,1697850511
53,albany,42.6001,-73.9662,15.15,92,98,0.89,US,1697850500
